"","voted_for","gender","education"
"719","Trump","Female","4-year"
"720","Biden","Male","4-year"
"721","Biden","Female","Some college"
"722","Biden","Female","4-year"
"723","Biden","Male","Post-grad"
"724","Trump","Male","4-year"
"725","Trump","Male","4-year"
"726","Biden","Female","Post-grad"
"727","Biden","Male","4-year"
"728","Biden","Male","4-year"
"729","Biden","Male","Post-grad"
"730","Trump","Female","4-year"
"731","Biden","Male","Post-grad"
"732","Biden","Male","Some college"
"733","Biden","Male","4-year"
"734","Trump","Male","Post-grad"
"735","Biden","Male","Post-grad"
"736","Biden","Female","Post-grad"
"737","Trump","Male","4-year"
"738","Biden","Female","Some college"
"739","Biden","Female","Post-grad"
"740","Trump","Male","4-year"
"741","Biden","Female","4-year"
"742","Biden","Female","4-year"
"743","Trump","Male","Post-grad"
"744","Trump","Male","2-year"
"745","Trump","Female","4-year"
"746","Biden","Male","Post-grad"
"747","Biden","Male","Some college"
"748","Trump","Male","4-year"
"749","Trump","Male","Post-grad"
"750","Trump","Male","Some college"
"751","Trump","Male","Some college"
"752","Biden","Female","Some college"
"753","Biden","Male","4-year"
"754","Biden","Male","Some college"
"755","Trump","Female","2-year"
"756","Trump","Female","2-year"
"757","Biden","Male","Post-grad"
"758","Trump","Male","Post-grad"
"759","Biden","Male","4-year"
"760","Biden","Female","4-year"
"761","Biden","Female","Some college"
"762","Biden","Male","4-year"
"763","Trump","Female","Some college"
"764","Trump","Male","Post-grad"
"765","Biden","Male","Post-grad"
"766","Trump","Male","2-year"
"767","Trump","Female","4-year"
"768","Biden","Male","Post-grad"
"769","Biden","Female","4-year"
"770","Biden","Female","Some college"
"771","Biden","Male","4-year"
"772","Biden","Female","Post-grad"
"773","Biden","Female","2-year"
"774","Trump","Female","Some college"
"775","Biden","Male","Post-grad"
"776","Biden","Male","Post-grad"
"777","Biden","Male","Post-grad"
"778","Biden","Female","Some college"
"779","Biden","Male","4-year"
"780","Trump","Male","4-year"
"781","Trump","Male","Post-grad"
"782","Biden","Male","4-year"
"783","Biden","Female","4-year"
"784","Biden","Female","Some college"
"785","Biden","Female","Post-grad"
"786","Biden","Female","4-year"
"787","Biden","Male","2-year"
"788","Trump","Male","2-year"
"789","Trump","Male","4-year"
"790","Biden","Male","Post-grad"
"791","Biden","Female","4-year"
"792","Biden","Male","4-year"
"793","Biden","Female","Some college"
"794","Trump","Female","Some college"
"795","Trump","Female","Post-grad"
"796","Biden","Female","Post-grad"
"797","Biden","Male","2-year"
"798","Trump","Male","2-year"
"799","Trump","Female","Post-grad"
"800","Biden","Female","Some college"
"801","Biden","Male","Some college"
"802","Trump","Female","2-year"
"803","Biden","Female","Post-grad"
"804","Trump","Female","Some college"
"805","Biden","Male","Post-grad"
"806","Biden","Female","2-year"
"807","Trump","Female","4-year"
"808","Biden","Male","4-year"
"809","Biden","Female","4-year"
"810","Biden","Male","Some college"
"811","Biden","Male","4-year"
"812","Biden","Male","4-year"
"813","Biden","Male","4-year"
"814","Trump","Male","Some college"
"815","Biden","Female","4-year"
"816","Trump","Male","4-year"
"817","Trump","Male","4-year"
"818","Biden","Female","2-year"
"819","Trump","Female","Post-grad"
"820","Biden","Male","4-year"
"821","Trump","Male","Post-grad"
"822","Biden","Female","Post-grad"
"823","Trump","Male","4-year"
"824","Biden","Female","Some college"
"825","Biden","Female","Some college"
"826","Biden","Female","4-year"
"827","Biden","Male","Some college"
"828","Biden","Female","4-year"
"829","Biden","Female","High school graduate"
"830","Trump","Female","Post-grad"
"831","Biden","Female","4-year"
"832","Biden","Female","2-year"
"833","Biden","Male","Post-grad"
"834","Biden","Male","4-year"
"835","Trump","Male","Some college"
"836","Biden","Female","Some college"
"837","Biden","Male","4-year"
"838","Biden","Male","4-year"
"839","Biden","Female","4-year"
"840","Trump","Male","Some college"
"841","Biden","Female","Post-grad"
"842","Biden","Female","Post-grad"
"843","Trump","Male","4-year"
"844","Trump","Male","Some college"
"845","Biden","Male","Post-grad"
"846","Biden","Female","2-year"
"847","Biden","Male","Post-grad"
"848","Trump","Male","Post-grad"
"849","Trump","Male","High school graduate"
"850","Trump","Female","Some college"
"851","Biden","Female","Post-grad"
"852","Biden","Male","4-year"
"853","Biden","Male","Some college"
"854","Trump","Female","Post-grad"
"855","Trump","Female","4-year"
"856","Trump","Male","2-year"
"857","Biden","Female","4-year"
"858","Trump","Male","2-year"
"859","Trump","Male","4-year"
"860","Biden","Female","4-year"
"861","Trump","Female","4-year"
"862","Biden","Female","2-year"
"863","Biden","Female","Post-grad"
"864","Trump","Female","2-year"
"865","Biden","Male","Post-grad"
"866","Trump","Female","High school graduate"
"867","Biden","Male","4-year"
"868","Biden","Female","High school graduate"
"869","Biden","Male","Some college"
"870","Biden","Female","Some college"
"871","Biden","Female","Post-grad"
"872","Trump","Female","Some college"
"873","Biden","Female","Some college"
"874","Biden","Female","Post-grad"
"875","Trump","Female","Some college"
"876","Trump","Female","4-year"
"877","Biden","Male","4-year"
"878","Biden","Female","Post-grad"
"879","Biden","Male","4-year"
"880","Biden","Female","2-year"
"881","Trump","Female","Some college"
"882","Biden","Female","Post-grad"
"883","Biden","Male","4-year"
"884","Trump","Female","High school graduate"
"885","Trump","Female","2-year"
"886","Biden","Female","Some college"
